1,"@Pyrmha108 Oh, man good thing the peaceful hero Assad who in no way is responsible for hundreds of thousands of innocent civilians dying got these jihadists out of East Ghouta so he could redeploy his forces to plant flowers and build water fountains to attract butterflies to Damascus."
2,"'I was so scared, and I prayed to God to protect all of us,' says Damascus resident of U.S.-led airstrikes. https://t.co/ZBtd7JmA9o"
3,Alex Jones: ‘Fuck Trump’ for Blasting Damascus https://t.co/OcvzucEOQL
4,@MT_Consult That's too bad. I would have welcomed the news that the Damascus Airport was destroyed. Would keep Assad from flying around the world collecting paychecks from his bosses in Russia and Iran.
5,"At this rate N Homs, E Qalamoun, and S Damascus will be over around the same time."
6,"@georgegalloway Because the Tory Gov is lying again, just like Afganistan &amp; Iran
https://t.co/H0XCO5QMfn"
7,ISIS Shells Damascus As Syrian Army Prepares To Attack Terrorist Group Cells https://t.co/Ux14JK4hr0 via @southfronteng
8,"@atrupar That’s a damn lie. My mother’s aunt still lives in Damascus &amp; if we could get her here, she would come. @nikkihaley is a LIAR"
9,"So that’s 3 in my tweet stream: Al-Dumayr Airbase, Qaissoun RG Base, and Damascus IAP. All wrong.
Because of the “fog of war” &amp; the possibility of deliberate disinformation, I will always characterize these things as “local reports” and will only tweet if there’s a grain of logic https://t.co/hIpwtckXmO"
10,"I've just posted a new blog: 'God damn you, Trump': Syrians in Damascus react to U.S.-led airstrikes https://t.co/hpXSwszici"
11,"'God damn you, Trump': Syrians in Damascus react to U.S.-led airstrikes - https://t.co/MiBZp4OdJQ https://t.co/R4ijP9IGUY"
12,"&amp;#039;God damn you, Trump&amp;#039;: Syrians in Damascus react to U.S.-led airstrikes, https://t.co/AVVmOJc802"
13,Turkish Plot with NATO to topple Damascus https://t.co/supOznKrFv
14,"@POTUS @SEDEFUS Staff bases in E with Syrian Kurd units. Enshrine regions autonomous governance through Damascus, apply Iraqi model (dual citizenship). Extract oil until costs of incursion are recovered. Schedule a CLASSIFIED CONDITIONS-BASED phased draw down, including al Tanf."
15,The #US Secret Plan Against Damascus Foiled | Russian Role Before and After the US/UK/France Attack Revealed https://t.co/kR6qqI1a3d via @JamahiriyaNews #Syria
16,"@IanBlackfordMP The Tory Government are lying again, there are no chemical weapons, this is another Afganistan or Iran excuse to attack another country. Did they target the Russian Pipeline by any chance?
https://t.co/H0XCO5QMfn"
17,@RealMattCouch @Education4Libs @asilbob “On the day of the bombing I grabbed my camera and rode my bike as fast as I could to Damascus...”
18,@clayton988 @giles_fraser Why don’t you visit and see you are quoting simplistic media narratives ... while @giles_fraser is walking the streets of non sectarian Damascus .
19,"Some totally ungrounded ideas to why the research centre in Barzeh was bombed.
-The US wanted to humiliate Syria by showing that they could put missile after missile in the center of Damascus and there was nothing the Syrian government could do."
20,"@GrizzleMeister @ReneeCarrollAZ And then there's pictures of John Kerry and Assad dining with their wives.
https://t.co/vY2COv0Z0P"
21,"They have been entrusted with the task of investigating the site of an attack on April 7 in the city of Douma, just east of the capital, Damascus, which according to the Western powers involved chlorine and sarin and killed dozens"
22,"@JackPosobiec I oppose it, too, highly suspect the trick is on America for defending OBAMA ISIS REBELS. For the Benefit of IRan's opportunity to go marching through Georgia, through DAMASCUS to Israel, Ezekiel 38, 39"
23,"A team of chemical experts from the Organization for the Prohibition of Chemical Weapons, based in The Hague, arrived in Damascus hours after the attacks."
24,"(ISAIAH 57:20-21) ""chaos in international relations – Putin"" 'DAMASCUS A... https://t.co/wgtBoyRoZx via @YouTube"
25,…this report about Damascus IAP destruction also is found to be either misinformation or disinformation. https://t.co/legFqWFG3s
26,"A satellite image shows three buildings at the Barzeh research facility near Damascus, Syria, allegedly used to develop chemical weapons, in 2013 (L) and destroyed after an attack by the US, Britain and France on 14 February. April 2018"
27,"Some totally ungrounded ideas to why the research centre in Barzeh was bombed.
-The US wanted to hide something.
-The US tried to bomb different places in Damascus but all missiles where taken over and directed to Barzeh."
28,"Arab League Summit final statement condemns chemical attack, does not accuse Damascus https://t.co/v2GzERW9bg #ArabLeague #Syria"
29,"# #Before #dawn, #the #streak #of #a #missile #across #Damascus' #sky #News #DailyNews: AP photographer Hassan Ammar describes the scene before dawn on Saturday as the United States, Britain and France carried out airstrikes outside Damascus _ and… https://t.co/6G4MPWIs6c"
30,@BlakeAHarper @Jake_Gooch So who's to say it's not a rebel false flag? Both sides have shown willingness to slay the innocent. I think refugees are less preferable as well but we don't even know who the guilty party is and yet we're still attacking Damascus. Poor move all around
31,"@bluedot_UK @giles_fraser Ausschwitz was far away from Warsaw. East Ghouta is only 5 Miles from Damascus. But he could not see, nor smell the fragrances of nerve-gases"
32,@theresa_may during your Air support package in #Syria ISIS used the cover to conduct a planned ground attack and took ground south of Damascus... #ChemicalWeapons #FalseFlag #NotInMyName
33,Tomohawk Land attack cruise missiles cost £1.3 Million each. 57 of them were fired at Barzah Research Center in Damascus at 4am on Saturday 14 April 2018. Try not to think about that the next time you hear that  500 NHS operations were cancelled last winter. https://t.co/NFvmEDbt0T
34,Destroyed research lab caught on video after US strikes Damascus - Daily Mail https://t.co/FGlnHC3STa
35,"'God damn you, Trump': Syrians in Damascus react to U.S.-led airstrikes https://t.co/uaPMYYFrMM"
36,"'God damn you, Trump': Syrians in Damascus react to U.S.-led airstrikes https://t.co/wUXTJ2qw5H #CBC"
37,ghadivision  for u 💙 ghadi #Damascus #puertorico #Dubai #lebanon #rusia #Syria 😇 😇😊#NYC #Sydney… https://t.co/JzxYb22daB
38,"'God damn you, Trump': Syrians in Damascus react to U.S.-led airstrikes https://t.co/HlaHNyOboz"
39,"@giles_fraser Would you be kind and go 5vMiles east from Damascus and report to us how beautiful East Ghouta is after 5 years of barrel bombing, siege and starvation. Do not inhale hard then. Some of the toxic nerve gas/chlorine maybe still in the air."
40,Damascus Steel Copper  #ring #jewelry #copper https://t.co/yuh144OCWK https://t.co/CpZGzZNsMz
41,"'God damn you, Trump': Syrians in Damascus react to U.S.-led airstrikes https://t.co/MgvMxicKA3  via CBC News https://t.co/MgvMxicKA3"
42,"'God damn you, Trump': Syrians in Damascus react to U.S.-led airstrikes https://t.co/MZbi3AucnD"
43,Had to do it to 'em (bomb Damascus) https://t.co/EfoK4prCnn
44,"'God damn you, Trump': Syrians in Damascus react to U.S.-led airstrikes https://t.co/ucMB7RETYi"
45,"'God damn you, Trump': Syrians in Damascus react to U.S.-led airstrikes https://t.co/FJrK0NJOjf"
46,Both the Orthodox and Catholic Patriarchs of Damascus oppose the US strikes.
47,"“What can be simpler than giving a glass of cold water or a piece of bread, or refraining from one’s own desires and petty thoughts? Yet through such things the Kingdom of Heaven is offered to us - by God’s grace.”

- St Peter of Damascus, A Treasury of Divine Knowledge"
48,"@TheXclassV2 Send that twat - oh forget it - he doesn't need body armor - like they screwed troops in Iraq

Drop him in downtown Damascus without it"
49,"@Thomas1774Paine The chemical weapon rubbish is yet another lie &gt;&gt;&gt;
https://t.co/H0XCO5QMfn"
50,"The strikes followed a suspected chemical weapons attack on civilians in Douma, outside Damascus, where Syrian forces have long been battling rebels.https://t.co/T0bxm6jYM3"
51,ISIS Shells Damascus As Syrian Army Prepares To Attack Terrorist Group Cells https://t.co/V5csfeA0wR via @southfronteng
52,"'God damn you, Trump': Syrians in Damascus react to U.S.-led airstrikes https://t.co/iX3bwxxAMW"
53,"#Syria #Damascus #SyriaStrike #SyriaStrikes Video from The Syrian research facility area that was struck by the United States, Britain, and France on April 14th, 2018 https://t.co/Swcjf2aPPu"
54,"'God damn you, Trump': Syrians in Damascus react to U.S.-led airstrikes https://t.co/FvAv3flmsL https://t.co/qlkDwpwh0U"
