1,@illinidiva12 @Krisand74 @ReaganBattalion And when have you ever been to Cuba? When have you gone there and talked to the people? They also don’t have school shootings or an opioid problem. Go ahead and tell me to go live there and I will go tell you to live in Russia with your God Putin.
2,"""if i was putin i would sell some 8 regiments of s300 to syria, iran and nk, just to watch the…"" — Claudio Cadalço https://t.co/hYBFBp2DNB"
3,"Fears of retaliation from Putin over Syria strikes 

https://t.co/o89npcQ0QV via @MailOnline"
4,@secupp We're mad because Trumplestilskin acts like a pussy and mollycoddles Putin's pet instead of blowing Assad's ass off of the planet.
5,"@RWPUSA @CNNPolitics “Insult his intelligence?” Of course,we question his intelligence! It’s important for God’s sakes! He’s putting us,our military &amp; our allies in danger! The people who prostrate before the 72 yr toddler are not doing him any favors. He puts HIMSELF 1st &amp; Putin 2nd‼️"
6,"Just to make sure it's reader's get the point, the transparent Telegraph chose this distinctly shifty-looking photo of Putin for it's front page. 

And we like to think the Russian people are enslaved by the propaganda of their Government/media, whilst we enjoy a ""free press""?"
7,You mean..which blazer is he Putin on??? https://t.co/r0QSScdyCm
8,@rodgerk1 @Omega_Phoenix11 @Smyldawg @AdamWSweeney We have the intelligence from boots on the ground as well as our two partner countries! Assad and Putin certainly aren’t going to fess up... if that’s what you’re waiting for!
9,"I love Preet's show. He speaks to my inner lawyer, I guess. =D This is me trying sharing from other platforms. https://t.co/28Se78mUNu wants desperately to be social. I'm not sure it is.  https://t.co/CskdU8MYpk"
10,"@RobertH80DTRUMP @mysteriouxTruth @pooky812 @NBCNews By the way, you might be some of those things too - it’s ok. It’s your choice. But two things I won’t accept: 1) people forgetting who Putin (and Russia) is. 2) Christians that pick on Obama saying he was not a good man, now accepting divorced/abuser/cheating Trump."
11,@Atticusdaughter @BASEBALLJONEZ @kylegriffin1 Of course. It’s not like #Putin has given up. It’ll only get worse before it gets better. #2018elections
12,"@safavilayla @garoukike Mine started breaking on Iraq, got worse on Libya and now is completely shot on Syria. 
I won't be able to take Iran or is Lebanon next?
I'd prefer WW3 first at this stage. 
Hope Putin can sort it.

#7Countries5Years
#PNAC
#LiesForWar
#SyriaStrikes https://t.co/vdZeyi4z89"
13,Putin warns of global ‘chaos’ after U.S.-led strike on Syria` https://t.co/hNfwKWpMiW
14,Putin warns of 'chaos' in international order if Syria gets attacked again - https://t.co/N2GLKkNlS7 via https://t.co/bJaZXT8iY8
15,"@Rogerasalways Assad, the actual head of state in Syria, might act without Putin’s assent. He’s much more concerned, as an Alawite, with following Iran’s directives."
16,"@realDonaldTrump Just like you never knew Putin after stating you knew him very well. You are the best wake up call that could have ever happened to this country. Big wake up call to never again vote a draft-dodging silverspoon, chronic liar and crook to office! Phony!"
17,"Flashback, July 2017: https://t.co/W6hakq0Z3x
""[T]he Russian President leaned in to Mr Trump, gestured to the journalists in the  room, and asked: 'These are the ones hurting you?'
""'These are the ones. You're right about that,' Mr Trump responded."" https://t.co/IjMyKtqnDB"
18,Putin talks a big game. He said the last time he would shoot American missiles out of the sky. He didn’t. 105/105. https://t.co/8u0h1MDqdH
19,"@RepLeeZeldin @FoxNews You and state run propaganda MUST go!  Lee, you are Putin's party.  #NoGOPutin"
20,"@RealAlexJones CARPET BOMB ASSAD UNTIL HE IS DEAD! If the TOUGH GUY#Putin wants to dance, HE WILL LOSE!"
21,@zerohedge @carajay74 Putin has a bad case of Napoleon syndrome! Poor little guy.
22,@GloriaSacer Now #Syria can rely heavily on #UN Article 51-the right of selfdefense. So #Russia may deliver the crucical #S300 airdefense to #Assad without any greater problems from the international community. #Trump &amp; #Putin are dancing a pas de deux against the #FinancialInternacional...
23,"For anyone who has sympathy for Putins Russia. This whole vice series is a must watch. #Putin #Russia

Aftermath of Ambush on Ukrainian Forces: Russian Roulette (Dispatch 75) https://t.co/j5ICmnK8kd via @YouTube"
24,"@funder Hey, on another note, look what Putin got for fucking Donald Trump. They both got to run a “train” on the American people."
25,"Isn't the whole point of having #UN #UNSC so that ""international community"" can stand behind its decisions?

#Macron #TheresaMay #DonaldJTrump #France #UK #USA with your actions you stand squarely outside ""international community"" 

https://t.co/Mtod6HEYEx 

#Syria #SyriaStrikes https://t.co/RAQH0SOi5L"
26,@JeanneBartram @WashTimes It has nothing to do with oil and gas. Your constant parroting of Putin propaganda is frankly getting tedious. Nearly all US bombing recently has been in support of the (ironically left-wing) Syrian Kurds in their fight against ISIS. Would you rather have had ISIS beat them?
27,Actions similar to coalition strikes in Syria will lead to chaos in international relations – Putin https://t.co/1e7YGn5fgL
28,Did you warn your Puppet Putin? https://t.co/hD3TeQLk0x
29,What happened to Soros was hiding from Putin? https://t.co/X91mr4jIZh
30,@TheTrumpPuppet @realDonaldTrump Putin OWNS @realDonaldTrump.
31,"Just to be clear, The world is better the more divergent views we  properly hear, the more we try. Putin is trumps equal in global  embarrassment. Everybody knows that Russian people are better than their corrupt oppressors #agenda.  #russia"
32,@mikandynothem @codeofvets @Hoosiers1986 @LeahR77 @DrMartyFox @MrEdTrain @hidehunt1 @junogsp5 @Corrynmb @Stonewall_77 @GrizzleMeister Trump scaring Kim is a joke.......but Putin is the REAL threat and Trump won't scare him.....always wanting to praise that piece of crap Trump is also a joke......a bad joke
33,"The emergency meeting of the Security Council went for 2:40. No mention of the outcome.
Russian President Vladimir Putin warns of global 'chaos' if West strikes Syria again  https://t.co/SUS5QpsJvg via @abcnews"
34,"I liked a @YouTube video https://t.co/v9Hl5ZglwE Breaking News: ""Putin Threatens Global Chaos"" If America Hits Syria Again"""
35,@Rachael_Swindon You seen this? https://t.co/mwpnnE047N
36,How long will it be before the Left and the MSM (sorry to repeat myself) begin to be sympathetic to Putin and Russia?
37,"Who exactly would he be praying to Wall Street, porn stars or Putin? https://t.co/TyMjvHwuCh"
38,"@SkyNews Who the hell would believe Assad and Putin? Two of the biggest lying, cheating scumbags ever to walk this planet! 

If Putin told me his name was Putin I wouldn’t believe him. 

Stop giving these two idiots air time. They are murdering bastards that don’t deserve to exist"
39,Trump Pushes Putin Around On Syria https://t.co/mkkdvNmHiH
40,@business The mans butcher and lackey of Putin
41,What is Putin really up to? This tiny intelligence agency gets it mostly right https://t.co/IVLIMpn2mD https://t.co/EgGjgLowVY
42,"@VladimirPutin24 Strikes Reactions

🇸🇾Syria: Barbaric attack, won't affect fight against terrorism
🇷🇺Putin: Strikes without UNSC mandate a violation of intl law
🇺🇸Trump: Mission accomplished is a lie
🇨🇳China: Respect other countries’ sovereignty
🇮🇷Iran: Those who attacked Syria are crim"
43,"@IanHartley_ Syria has resources; it's also a route into Russia, the prize the west has sought for centuries. To protect Russia, Putin must assist Syria. US funds the 'rebels', safety corridors are their escape route. Take Syria, next stop Russia. Look at the map."
44,@yashar @jonathanvswan Putin didn't approve
45,"LA Times report gives aid and comfort to the enemy of the West by putting their report into the perspective of Assad, Putin, and Khamemei."
46,Putin predicts global 'chaos' if West hits Syria again https://t.co/FSWc3dMfCo
47,Putin predicts global 'chaos' if West hits Syria again https://t.co/w3NBIDgl74
48,"@mikercarpenter It’s not the urinating prostitutes that has trump scared, it’s the fifth floor falls. Putin already showed him that Russia’s Sec to the UN could be killed in the US."
49,@essenviews @Heinzilla @politicususa @Ryan Ryan acting like a putin puppet.
50,"@WillD1am @governermccheez @GOPChairwoman or the raping a 13 year old credibility issue, or the election meddling credibility issue, or the ""Putin is a good guy"" credibility issue, or the obstruction of justice credibility issue, or the ""no one in my administration can get security clearance"" credibility issue??"
51,"Syria strikes prove direct US DEEP STATE -terrorists ties: Iran president. GENERAL FLYNN SAID THE SAME!
https://t.co/ikVbI5U27F"
52,Putin warns of “chaos” if Syria hit again while U.S. vows new sanctions against Russia. https://t.co/CoBawdkISN https://t.co/GGgUKF9qQh
53,"The 446 People, Places and Things Donald Trump Has Insulted on Twitter  (not Putin): A Complete List https://t.co/uFSLuX5e2c via @UpshotNYT"
54,LIVE! The Latest Face-Off With Putin And What's To Come. PLUS $500 GIVEA... https://t.co/euUHX8n62Z via @YouTube
55,@realDonaldTrump Did the little guy fall asleep after all that early morning texting ?? Poor guy ...Just dream of big Macs and sucking Putin's titty's ..Sleep tight little Cheeto pig
56,@PreetBharara @RVAwonk @Barnes_Law They suck Putin’s dick in Vegas too! #trumprussia #stormy #spanky #CohenPrague
57,Another dead Russian who dared to expose the corruption and criminality of Putin’s oligarchs. These people are so brave in trying to uncover the truth in #Russia https://t.co/VFPkfoZsqr
58,@BBCWorld Well maybe now Putin isn't pulling his strings somebody has to?
59,"@PuestoLoco @tribelaw He want PL

 I don't even feel that Paul Ryan will make it the rest of this year. I don't even feel that Paul Ryan will make it the rest of this year. He may not make it the rest of this month. Republicans are angry at him so Putin will push him out"
60,Putin: Further Western Strikes in Syria Contrary to Int'l Law Will Lead to Chaos https://t.co/MyHWTy5jCR
61,@CBSNews This monster is such a bad person. He's pretty close to be as bad as Putin.
62,"I added a video to a @YouTube playlist https://t.co/oJZbRl50mU PUTIN &amp; ASSAD Punk TRUMP ""Do We Have a Problem""?! Funny Confrontation"
63,"People @realDonaldTrump wants to be:

1. President Obama
2. James Comey
3. Vladimir Putin

#TheResistance #TrumpRussia #MuellerTime #Comey"
