1,"#Pentagon Says ‘2000%’ Rise in Russian Trolls After Airstrikes on #Syria
Well, yeah, if you take everyone who are not believing your lies &amp; vocal about that as Russian trolls!. True, far too many Russian trolls!.  So, the next step is to shutdown the internet?
#Orwellian_times! https://t.co/9ntwBZ8qxX"
2,No more war. No illegal war with Syria! https://t.co/KqpStye8PP
3,"At @pdamerica and @PDAction , as well as @DFAaction and @OurRevolution , we INSIST that President Donald Trump WORK WITH CONGRESS as Mandated by the U.S. Constitution and Work Toward a DIPLOMATIC SOLUTION to the Crisis in Syria.  #HealthcareNotWarfare ! https://t.co/0SnB8UJU3O"
4,"Many in Spanish Government encourage terrorism they wish it as pretexts for repressive policies: NATO policies esoteric imperialist hypocrisy in Kurdish territory, Catalan, Cyprus, Syria

BBC News - Carles Puigdemont freed on bail by German court https://t.co/7ggOAA4UZU"
5,Scores of Palestinians hit Ramallah streets to decry US-led strikes in Syria https://t.co/fvo2qkYscn via @thearabsource
6,World War 3: Corbyn warns Syria airstrikes could be ‘precursor to WIDER military action’ https://t.co/bgczdZlGP6 https://t.co/5l1CnETMDJ
7,"@DavidHadley1973 @ib2_real Of course! but #Assad forces &amp; #Iranian  mecenaries &amp; #Russian troops &amp; #Hizbullah  militias have been killing civilians &amp; "" innocent children"" for the past 7 years. They are committing war crimes &amp; ethnic cleansing. How do you want to solve this issue? 
#Syria 
#SyriaStrikes"
8,Gaza protesters slam US-led coalition strikes in Syria https://t.co/2wU8lNtKBZ via @YouTube
9,"A Day After U.S. Airstrikes in Syria, Assad Launches New Onslaught Against Rebels - The Wall Street Journal https://t.co/jW5atzC6Na"
10,"@seanhannity There’s no difference between Joy Behar , Larry or Curly or Shemp for that matter . Why doesn’t anyone even give her the time of day . Stupid comments by a stupid woman . Same as Rachel Madcow theorizing that Trump bombed Syria to divert attention from the Stormy Daniels scandal."
11,@Flowerstoall Syria accomplished little. Hang in there! New week tomorrow
12,"@exoticgamora @DanaScottLO @mcspocky @wesley_jordan @tizzywoman @TrinityResists @WomanResistorNC @AynRandPaulRyan @JCTheResistance @anti_orange1 @TaggartRehnn Syria is a deeply vexing problem with no easy answers for any real POTUS who actually cares about outcomes for those in distress, and America's standing in the world. For Drumph, it's just part of his reality show."
13,French president brags that he convinced Trump to strike Syria as the US was poised to pull out https://t.co/7JpuIXFk7c
14,"""Shit's been going down in Syria for 7 years. Who has the answer to this conflict? This man himself. Ernesto, 41 years old, teaches sociology and has a YouTube channel. Smokes weed and lives with his mom."" https://t.co/BK6yArGpaI"
15,U.S. troops not leaving Syria until goals accomplished: Haley https://t.co/9lkLYTEeYP
