1,"@kylegriffin1 @mirandayaver That’s correct.  Good thing Trump hasn’t broken any, but all those investigating him have.  Are they above the law?"
2,I’m with you. Not everyone realizes that Mueller just may be helping Trump. Things aren’t always clear as we would like them to be. https://t.co/wlaOXkyA7i
3,"Excerpt: Newsweek
Trump: My Other Lawyers Are 'Deflated And Concerned' They Will Be Raided Too
By Harriet Sinclair  4/15/18

Bullsh*t!

@realDonaldTrump @FoxNews @GOP @DNC #Trump #GOP #DNC #MAGA #KAG #DACA #BanAssaultWeapons #BoycottNRA #NeverAgain #NotOneMore #WhatIf https://t.co/L09r0SRnrR"
4,"@OfficeOfMike @RedNationRising  Well, are you a Conservative? Do you support President Trump? Hmm"
5,"@NormEisen Jesus would say, “Trump, you’re a damned idiot.”"
6,"&amp;, @charliekirk11 - He has succeeded! @POTUS @realDonaldTrump is a #Huge success! The Democrats thought they would win, thought #Trump wouldn’t succeed, &amp; thought they could derail his #Winning with #FakeNews &amp; misinformation. Now, they’re entirely lost in tabloid desperation! https://t.co/MQO4ZxwUnt"
7,"@kiptw A new co-worker was telling me how serial killer Hilary will be in prison within six months, secret Muslim Obama will join her within two years, and Trump will be reelected in a landslide.

I kept smiling and gently suggested he broaden the news sources he reads."
8,Michael Cohen and the End Stage of the Trump Presidency https://t.co/9eh952ckVy
9,@SteveSchmidtSES Dereliction of duty. Ryan did tax cuts for donor class &amp; is high tailing it out of Congress before there's a chance to impeach him for dereliction of duty per Trump.
10,Trump WILL NOT be impeached I GUARANTEE IT. https://t.co/ukgzUasV8A
11,@KamalaHarris Absolutely correct. GOP have to be called out AND Dems have to be called out. trump won because he shouted from the mountaintop about deep state and bad GOP as well as Dem (the swamp). If a moderate Dem can get out of primary &amp; then call it true as opposed to party they will win
12,"At @pdamerica and @PDAction , as well as @DFAaction and @OurRevolution , we INSIST that President Donald Trump WORK WITH CONGRESS as Mandated by the U.S. Constitution and Work Toward a DIPLOMATIC SOLUTION to the Crisis in Syria.  #HealthcareNotWarfare ! https://t.co/0SnB8UJU3O"
13,"@Bunderosa @The_Trump_Train I make my own e liquid.  This makes it 300% cheaper. Less than d
$1 a week. Just saying."
14,@rev23455635 @EthnoNat Trump is... https://t.co/DpIkPSoNGo
15,"And so now, the questions are: who else received funds from that account? who funded it? 

He's done.
https://t.co/FOPRaOT6km via @WSJ"
16,@FoxNews @Franklin_Graham Obama showed much more devotion to religion than Trump does. I can’t help but have a feeling Franklin Graham isn’t being honest. And all this time is was taught that being a good Christian meant telling the truth. Color me shocked.
17,"It doesn't surprise.
Trump is literally an illiterate."
18,@yokoono That'd serve Trump exceptionally well.
19,"@seanhannity There’s no difference between Joy Behar , Larry or Curly or Shemp for that matter . Why doesn’t anyone even give her the time of day . Stupid comments by a stupid woman . Same as Rachel Madcow theorizing that Trump bombed Syria to divert attention from the Stormy Daniels scandal."
20,Pentagon Sucks the Air Out of Trump’s ‘Mission Accomplished’ https://t.co/8oJfQK201g via @thedailybeast
21,@ScottAdamsSays @BamaRidger @nycjaneyvee @brithume Stormy wouldn’t be famous if Trump hadn’t asked her to spank him &amp; then got Cohen to pay hush money.
22,@DaveDriffeysr @FoxNews Then you don't oppose additional Syrian refugees and Trump can reverse his policy. Great to hear.
23,French president brags that he convinced Trump to strike Syria as the US was poised to pull out https://t.co/7JpuIXFk7c
24,@BreitbartNews Strange she confused Obama for Trump
25,Comedian Randy Credico says Trump adviser Roger Stone threatened his dog https://t.co/DZuLLfInyl via @YahooNews
26,Trump “Mission Accomplished” Sparks Stock Buying Spree; Investors Dump Bonds &amp; Bullion https://t.co/fIE99Z6mp2 https://t.co/iL15r4WJa9
27,This article gives me hope. https://t.co/ZZRLHDhTU8
28,"Michael Cohen and the End Stage of the Trump Presidency https://t.co/4JoSZOcf3m @POTUS Tick, tock, hear that clock?"
29,"@johnflerner @RonaldKlain @ParentofSam1 And people who believe in both. Trump does not believe in either.
They seem to believe in light white, angry, racist, gun-totin’, means to an end, Republican Jesus...
Not Christ."
30,@traciemac_Bmore @Delavegalaw @NormEisen @AriMelber @Comey Agree. All it did was provide a distraction for Trump so he can avoid Cohen news.
31,"@realDonaldTrump what I want Trump supporters to know: those of us you call ""libtards"" care about decent wages, education, and healthcare for ALL. We care about preserving our Democracy, fair and accurate reporting, our rights and liberties. Our Constitution. https://t.co/aK1EwGdtd8"
32,@CassandraRules The only country I wouldn't mind Trump dropping couple bombs is Saudi
33,@StatsInTheWild @seanhannity @realDonaldTrump LOL. If Trump's successes upset you....you're an idiot.
34,@BarstoolReags Do you think teams/players will be skeptical about Kawhi if he's available or does talent trump all?
35,This is the 2 year vote for Trump. Every conservative who wants to continue  the Trump agenda has to go vote. Otherwise everything done so far will be fr naught. https://t.co/XDfBDQjnvY
36,"@Mandelamen Exactly, nothing Trump has done should be shocking to anyone. If anything, he's consistently a wretched human being."
37,@CASE103060 @realDonaldTrump So you tried to make Trump illegitimate with the fake Russian collusion and illegal leaking of classified material. You are despicable
38,Trump's press secretary issues clarification after posting misleading photo https://t.co/vICNXEfsMS
39,"Absolutely PATHETIC work from sleazy Stephen Walkom’s terrible officials in the Jets and Wild game so far. When the hockey gets exciting and the tough get going, little Gary Bettman’s minions are there to make POROUS penalty calls and  destroy playoff excitement. DISGRACEFUL!"
40,China is vulnerable - The Washington Times #China #Trump #MAGA Stop China taking advantage of #America @realDonaldTrump @POTUS @GOP #Midterms2018 important to #MAGA so #Democrats don’t give into China and hurt #America  https://t.co/jNGX8kkZdz
41,@KyleKashuv Please invite Mrs. Trump!
42,@FetusKebabs @LauraAJarrett @yashar Are you denying it on her behalf?
43,@kwilli1046 AND Obama used our tax money while Trump used his own. Guess who really broke the law!!
44,"Trump assails Comey in tweetstorm, suggests ex-FBI director deserves ‘jail’ - The Washington Post https://t.co/JVvlGjUp3Q"
45,Hundreds in Downtown Los Angeles Protest Trump's Decision to Bomb Syria https://t.co/TlyakXOhzV via @nbcla
46,@BillKristol Does Franklin understand that Donald Trump is a False Prophet teaching a Gospel of Hate? Because it sure seems like Franklin hasn't got a clue or he too subscribes to the Prince of Lies.
47,@CarolLeonnig @myhlee @anu_narayan Wealthy folks like Trump know full well how to use other people's money to pay their bills.
48,"@thedudeabides81 They might as well, especially in Indiana. Majority of whites still approve of Trump. I wouldn't be shocked if it is close to 60% here."
49,the people who fought obama’s healthcare reform are the same ppl who got fucked by trump
50,Porn Star’s Representative Reveals How Trump’s Personal Attorney Has ‘Russian Ties’ https://t.co/x0sMX4BgHo
51,"Synopsis of the Indiana Republican Senate debate:

""I'm a conservative, now let me tell you why he's not.""

""I'm a conservative, here's my argument on why he's not.""

""I'm a conservative, and Trump was right. We need to get rid of career politicians.""

What a waste of time"
52,"Despicable Chris Wallace attacks today to Nikki Haley and President Trump couldn’t go lower. Big Stain on Fox News, another one. This Goebbelian is a disgrace worst than Sheppard Smith. Journalists they are not! https://t.co/0mYYGgFq8x"
53,More Than One-Fifth Of The @realDonaldTrump Campaign's Spending This Year Has Been On Legal Fees https://t.co/xGkj3qDdfV #Scammers
54,"Once they realize that Democrats have been USING them rather than HELPING them, that's going to happen.  Democrats have convinced blacks that they just can't survive without the help of liberal whites.  
Trump's economy and job creation will make that abundantly clear very soon. https://t.co/fm5akLCY6O"
55,@tribelaw @yoyobaba @AGSchneiderman Mueller is smart and tactical as hell.  No way Trump and team get to enjoy the run they’ve had so far in life.
56,Porn Star’s Representative Reveals How Trump’s Personal Attorney Has ‘Russian Ties’ https://t.co/RE6z2fwVpu
57,When I saw Trump talking to Kissinger I had a very bad feeling. https://t.co/NeQsu5e8D9
58,Trump's Brilliant 4-D Chess Syria Military Strategy Is No Match for Trea... https://t.co/gohd6VRUn7 via @YouTube
59,"This is a perfect example of someone who can see the bigger picture. 
Watch out for those still calling Mueller bad for trump. They stupid and not on the trump train. https://t.co/dx9hMwDpou"
60,Donald Trump freezes funding to groups fighting right-wing terror and white supremacism : Anarchism https://t.co/RIvKDHafLR
61,Could the CIA be sabotaging the Trump cabinet? - Episode #692 with Kevin... https://t.co/8jjFMMlra8 via @YouTube
62,"All these tweets today from TRUMP regarding James Comey-do we think Trump is intimidated by Comey?! Trump is boiling mad! LAUGHABLE! James Comey was an incredible FBI Director, honorable and ALWAYS tethered to the truth. I'm doubtful that Trump can even spell the word INTEGRITY."
63,"@DavidCornDC @Franklin_Graham How is it you do not understand that every time you make an apologetic for the inexcusable, you make God look like a buffoon. No one is suffering for Christ in your scenario, except Trump's victims."
64,FBI raid sought Trump lawyer’s communications with bank that loaned him money against his taxi business https://t.co/qj6m5lxGuc https://t.co/AqEGgmjUo7
65,French president brags that he convinced Trump to strike Syria as the US was poised to pull out https://t.co/uF3AaPjLyr
66,"@cbouzy USA and USAians had many outs re Trump.  And, USAians blew each and everyone.  And, because of that, USAians, in our view, truly deserve Trump and his MAGA and all that comes with it."
67,"@Yourleader77 @empressaw @realDonaldTrump Nothing on policy? You want to exchange position papers on Twitter? Obama was not perfect, but he had ideas and made progress towards things other civilized countries have: health care, clean energy, partnerships with other countries. Trump is a spoiled, angry 3-yr old."
68,"#Trump and the coalition should have waited for a #Full investigation to occur, before attacking #Syria...👇 https://t.co/mQeLlvKNAL"
69,@AlexSteffen America's climate refugees have been abandoned by Trump https://t.co/R60Y7X1W8p via @MotherJones
