1,@ramesses_lll It's been around for a few years. See: https://t.co/EwXWJEr4DZ
2,@marinapunta I just think he's lying. In the UK this is a feminist/lefty cause. Before #peaktrans I read things like this and it made me think of these 'terfs' as extremists. They're just normal women. The worst thing they do is laugh at men. That's what the problem is. Women laughing at men
3,US state senate approves law banning sex with animals by 25 votes to 10 https://t.co/h2eKVUrdpU
4,"Huge 7ft beast described as 'half human, half animal' leaves residents terrified https://t.co/XlXACyyx25"
5,Now Playing Wolfgang Amadeus Mozart - Vesperae solennes de ... #wolfgangamadeusmozart https://t.co/MD4RoxnM3u
6,@thurayatarig surprising us today was exactly what I needed ❤️ UK who?? Sudan is claiming you this time!
7,Boss lady 👏🏽...Most slay queens in this generation will never know that comfort zone. https://t.co/nmTXQ6ukNY
8,"Exclusive: Gloria Ibru attends Donald Duke &amp; Onari’s daughter, Xerona… https://t.co/1m7LwpXgov #news #gossip #trend"
9,"@HOUSEOFMACLEAN Wow that is gorgeous. I’ve always wanted to visit the UK as I’ve traced my ancestry to Ireland, Scotland, Wales, and England. I was born and raised in Florida and I have always lived in the country. I love the trees, and open land."
10,@ValuedAdviser @AnnastaciaMP @NEPBroadcasting @jackmorton Don’t forget all the lighting equipment was shipped in from a UK company when there are a number of Aus outfits that could have easily taken on the project
11,"One from yesterday:

Common Chiffchaff - Blashford, UK 🇬🇧

#HampshireBirding #BlashfordLakes https://t.co/btg1VQDetZ"
12,Disruptive Innovation for the airline business -NES2014- - https://t.co/iI8A6oAJ3B https://t.co/vJe5ky2abj
13,Inzamam's nephew Imam-ul-Haq named in Pakistan Test squad https://t.co/gC5MuxRp9h
14,"Fears of retaliation from Putin over Syria strikes 

https://t.co/o89npcQ0QV via @MailOnline"
15,"We're always told that mass #immigration is somehow ""good for the #economy"", but most Hartz IV #welfare recipients in #Germany are from #migrant backgrounds. 🤔A nasty consequence of #AnelaMerkel's very dumb policies! https://t.co/HnGZXYQugD #BBC #LBC @LBC #SKY #UK @ConHome #EU https://t.co/1oevO9pHRk"
16,Australia travel diary: Sydney -  I think Sydney was our very favourite place... https://t.co/KnmlQta9Ky
17,"""Its clear as day"": Man captures knight on horseback after flying new drone at 11th… https://t.co/KS7NgO1DZo https://t.co/Kb2pyoQ058"
18,UK rappers trash I’m sorry man. But somebody had to say it
19,@ChrisB_HK_UK @UnderdogRBLX And I resigned for a reason
20,@_FvckTon But we got Germany and the UK
21,"The face you make when you realise that, a year on, rabbits are still in cages… https://t.co/equB083Y0f https://t.co/3LP6eIQKmi"
